timestamp,zone_id,latitude,longitude,wind_speed_ms,wind_direction_deg,temperature_c,humidity_pct,traffic_emission_rate_kg_h,industrial_emission_rate_kg_h,rl_traffic_signal_offset_s,rl_green_corridor_active,rl_ventilation_control_mw,co2_concentration_ppm,pm25_ug_m3,reward_value
01-01-2026 00:00,Zone_007,37.71537646,-122.4493982,2.03,51.9,15.7,51.9,338.02,1142.36,30,1,3.05,617.6,41.37,-30.11
01-01-2026 01:00,Zone_004,37.84058427,-122.4971009,7.77,273.2,33.1,68.1,272.66,610.25,-26,1,4.55,606.41,25,88.03
01-01-2026 02:00,Zone_008,37.80318286,-122.4813447,1.98,180.2,24.8,50.5,432.11,164.68,-2,0,3.95,739.65,93.5,4.35
01-01-2026 03:00,Zone_005,37.71017556,-122.4379536,7.15,328.2,19.5,35.7,443.62,902.19,23,1,2.82,421.27,112.26,-4
01-01-2026 04:00,Zone_007,37.74514454,-122.4260703,8.47,52.8,22.5,44.5,126.75,461.73,-9,0,0.38,437.84,76.08,78.69
01-01-2026 05:00,Zone_010,37.80622581,-122.4393565,8.56,232.5,25.1,42.2,111.31,818.84,18,1,3.26,577.13,79.8,40.66
01-01-2026 06:00,Zone_003,37.71010259,-122.4203593,9.16,83.8,24,57.8,333.68,407.55,-28,1,2.63,584.49,93.92,-24.7
01-01-2026 07:00,Zone_007,37.78732557,-122.4107302,10.54,56.4,22.2,72.8,185.55,727.82,-3,1,0.92,413.97,26.84,13.23
01-01-2026 08:00,Zone_008,37.75188246,-122.4985114,6.25,246,22.6,47.1,58.36,949.37,7,0,4.41,689.05,117.08,89.23
01-01-2026 09:00,Zone_005,37.79313733,-122.4303857,8.9,213.7,14.4,30.8,449.89,1120.81,-17,1,1.72,573.15,50.08,85.18
01-01-2026 10:00,Zone_004,37.70686131,-122.3554751,7.62,271.7,30.3,63.7,152.11,387.24,16,0,1.94,521.33,79.11,-39.48
01-01-2026 11:00,Zone_008,37.83073052,-122.4221452,2.65,111.4,23.5,69.4,468.18,468.34,-17,1,3.36,511.6,61.55,-9.71
01-01-2026 12:00,Zone_008,37.84602335,-122.3983687,0.8,161.3,13.3,92.6,372.85,610.69,12,0,2.44,701.49,61.5,-26.82
01-01-2026 13:00,Zone_003,37.84533168,-122.4532204,3.77,146,29.2,68.3,393.19,1119.89,-20,0,0.45,468.86,87.3,30.07
01-01-2026 14:00,Zone_006,37.81244777,-122.3839013,5.59,354.3,33.3,60.6,140.66,1091.53,-22,0,1.94,456.15,119.41,62.5
01-01-2026 15:00,Zone_005,37.71951294,-122.3840618,7.6,105.2,33.7,67.3,155.39,198.87,7,1,0.47,474.61,82.5,-5.67
01-01-2026 16:00,Zone_002,37.81373948,-122.4218056,10.27,106.1,19.2,90.3,284.57,245.12,16,0,0.95,618.76,97.35,63.7
01-01-2026 17:00,Zone_008,37.70368804,-122.3535979,2.76,127.6,13.4,83.8,127.44,645.06,13,1,0.04,683.83,13.04,50.31
01-01-2026 18:00,Zone_006,37.70331853,-122.4811675,1.94,203.3,23,51,187.44,217.28,30,1,0.91,515.84,99.15,59.23
01-01-2026 19:00,Zone_002,37.74854153,-122.4974579,11.58,90.8,12.8,45.4,194.66,480.14,-25,1,1.65,460.71,43,92.24
01-01-2026 20:00,Zone_005,37.77329648,-122.3844763,1.74,329.5,33.3,47.1,121.83,263.22,-30,0,2.69,473.22,23.94,13.69
01-01-2026 21:00,Zone_001,37.81556111,-122.3789267,6,95.6,14.6,62.8,142.33,799.64,-6,1,4.6,616.71,22.47,1.39
01-01-2026 22:00,Zone_010,37.80249431,-122.4819689,7.23,322.5,16.3,78.4,404.85,1144.44,-15,0,2.7,486.11,84.79,52.58
01-01-2026 23:00,Zone_006,37.76688541,-122.4601626,6.73,37.3,20.2,62.7,125.24,1196.41,21,0,3.53,707.05,119.74,71.13
02-01-2026 00:00,Zone_009,37.741044,-122.4973671,1.49,236.4,19.6,34.4,62.81,512.77,-16,0,1.79,436.36,83.28,-21.28
02-01-2026 01:00,Zone_001,37.84956868,-122.4560037,1.16,326.5,29.9,77,333.21,758.91,3,0,3.76,411.33,38.86,77.02
02-01-2026 02:00,Zone_010,37.7639272,-122.3840287,1.71,60.7,21.4,82.4,489.19,1041.89,-14,0,3.1,430.93,32.36,-41.32
02-01-2026 03:00,Zone_003,37.76770805,-122.4223059,7.23,348.6,14.3,48.8,199.05,229.21,-28,0,2.3,695.98,67.86,-49.04
02-01-2026 04:00,Zone_007,37.72454357,-122.4477857,6.76,163,16.7,73.2,103.4,858.52,-28,0,0.97,627.93,17.15,-26.24
02-01-2026 05:00,Zone_004,37.81922143,-122.4442391,3.19,340.5,22.7,57.7,306.67,549.73,6,0,1.52,735.21,53.93,96.8
02-01-2026 06:00,Zone_009,37.80405233,-122.499797,7.83,243.7,13.7,87.8,457.86,326.76,-14,0,3.1,517.7,83.29,28.53
02-01-2026 07:00,Zone_003,37.73311544,-122.4550299,9.93,108.6,25.3,84.9,402.83,543.03,24,0,2.13,474.44,116.44,-43.01
02-01-2026 08:00,Zone_005,37.71235716,-122.4030312,0.98,67.8,24.1,64.2,330.13,183.56,30,1,4.45,596.69,56.82,99.58
02-01-2026 09:00,Zone_003,37.8020749,-122.3538708,6.23,109.3,27.9,74.9,191.78,864.95,18,0,1.17,588.24,32.02,61.74
02-01-2026 10:00,Zone_007,37.79817668,-122.3729409,8.43,33.5,33.4,87.4,293.85,378.02,21,0,0.37,606.86,99.91,75.7
02-01-2026 11:00,Zone_005,37.74098893,-122.4964608,3.4,51.8,32.8,62.2,91.06,442.55,7,0,2.95,521.64,91.86,-18.06
02-01-2026 12:00,Zone_009,37.84262953,-122.3652159,4.04,37.7,33.7,50.4,355.53,233.19,-30,0,4.43,402.06,104.57,-34.18
02-01-2026 13:00,Zone_007,37.72265868,-122.3825202,7.56,152.3,16.1,79,376.29,1051.13,-24,0,1.82,412.26,33.62,27.26
02-01-2026 14:00,Zone_002,37.76485022,-122.3829436,10.83,286.4,13.3,44.3,484.26,642.79,-5,0,3.24,632.34,54.53,65.83
02-01-2026 15:00,Zone_004,37.84154239,-122.4313006,9.81,50.9,17.6,55.3,167.18,729.36,16,1,1.16,583.14,117.97,45.67
02-01-2026 16:00,Zone_009,37.7629591,-122.4402992,7.21,46.9,32.4,86.3,58.31,726.38,8,1,2.79,687.35,27.38,44.66
02-01-2026 17:00,Zone_002,37.79577889,-122.4545626,8.9,231.6,34.3,77.1,295.52,551.54,-12,1,3.93,505.14,83.86,63.56
02-01-2026 18:00,Zone_010,37.75963916,-122.4901458,4.7,71,31.5,56.2,368.06,311.78,21,1,4.34,685.42,36.09,-15.95
02-01-2026 19:00,Zone_009,37.74113228,-122.4657647,7.87,35.1,12.8,44,405.68,919.65,23,1,0.53,548.92,65.02,49.23
02-01-2026 20:00,Zone_010,37.84759665,-122.4630095,5.86,60.1,33.7,53.1,137.18,239.76,-1,1,1.78,433.84,98.06,8.82
02-01-2026 21:00,Zone_005,37.7614001,-122.4273884,2.68,332.5,20.6,48.5,167.79,214.26,12,1,3.2,742.27,63.74,-39.54
02-01-2026 22:00,Zone_002,37.83411488,-122.3878833,8.57,295.7,10.2,41.4,280.67,881.16,24,0,0.17,579.18,98.6,-19.68
